,Date,Count
0,2017-02-04,2061
1,2017-02-05,2775
2,2017-02-06,2752
3,2017-02-07,2734
4,2017-02-08,2741
5,2017-02-09,2779
6,2017-02-10,2732
7,2017-02-11,2777
8,2017-02-12,2774
9,2017-02-13,2743
10,2017-02-14,2741
11,2017-02-15,2744
12,2017-02-16,2743
13,2017-02-17,2751
14,2017-02-18,2758
15,2017-02-19,2769
16,2017-02-20,2763
17,2017-02-21,2747
18,2017-02-22,2760
19,2017-02-23,2759
20,2017-02-24,2767
21,2017-02-25,2757
22,2017-02-26,2770
23,2017-02-27,2736
24,2017-02-28,2734
25,2017-03-01,2748
26,2017-03-02,2759
27,2017-03-03,2754
28,2017-03-04,2748
29,2017-03-05,2734
30,2017-03-06,2737
31,2017-03-07,2740
32,2017-03-08,2747
33,2017-03-09,2751
34,2017-03-10,2752
35,2017-03-11,2760
36,2017-03-12,2773
37,2017-03-13,2762
38,2017-03-14,2727
39,2017-03-15,2741
40,2017-03-16,2774
41,2017-03-17,2787
42,2017-03-18,2765
43,2017-03-19,2773
44,2017-03-20,2767
45,2017-03-21,2774
46,2017-03-22,2784
47,2017-03-23,2774
48,2017-03-24,2785
49,2017-03-25,2743
50,2017-03-26,2746
51,2017-03-27,2760
52,2017-03-28,2777
53,2017-03-29,2770
54,2017-03-30,2778
55,2017-03-31,2781
56,2017-04-01,2768
57,2017-04-02,2767
58,2017-04-03,2767
59,2017-04-04,2771
60,2017-04-05,2778
61,2017-04-06,2782
62,2017-04-07,2787
63,2017-04-08,2737
64,2017-04-09,2752
65,2017-04-10,2766
66,2017-04-11,2789
67,2017-04-12,2792
68,2017-04-13,2790
69,2017-04-14,2796
70,2017-04-15,2766
71,2017-04-16,2776
72,2017-04-17,2780
73,2017-04-18,2786
74,2017-04-19,2774
75,2017-04-20,2777
76,2017-04-21,2785
77,2017-04-22,2773
78,2017-04-23,2774
79,2017-04-24,2772
80,2017-04-25,2771
81,2017-04-26,2766
82,2017-04-27,2782
83,2017-04-28,2780
84,2017-04-29,2762
85,2017-04-30,2762
86,2017-05-01,2765
87,2017-05-02,2777
88,2017-05-03,2778
89,2017-05-04,2775
90,2017-05-05,2784
91,2017-05-06,2750
92,2017-05-07,2753
93,2017-05-08,2758
94,2017-05-09,2765
95,2017-05-10,2776
96,2017-05-11,2773
97,2017-05-12,2777
98,2017-05-13,2761
99,2017-05-14,2765
100,2017-05-15,2766
101,2017-05-16,2765
102,2017-05-17,2774
103,2017-05-18,2777
104,2017-05-19,2780
105,2017-05-20,2730
106,2017-05-21,2736
107,2017-05-22,2758
108,2017-05-23,2765
109,2017-05-24,2775
110,2017-05-25,2781
111,2017-05-26,2776
112,2017-05-27,2749
113,2017-05-28,2775
114,2017-05-29,2758
115,2017-05-30,2759
116,2017-05-31,2771
117,2017-06-01,2777
118,2017-06-02,2781
119,2017-06-03,2736
120,2017-06-04,2736
121,2017-06-05,2756
122,2017-06-06,2768
123,2017-06-07,2772
124,2017-06-08,2785
125,2017-06-09,2778
126,2017-06-10,2770
127,2017-06-11,2780
128,2017-06-12,2777
129,2017-06-13,2783
130,2017-06-14,2786
131,2017-06-15,2797
132,2017-06-16,2802
133,2017-06-17,2761
134,2017-06-18,2762
135,2017-06-19,2782
136,2017-06-20,2777
137,2017-06-21,2795
138,2017-06-22,2798
139,2017-06-23,2798
140,2017-06-24,2781
141,2017-06-25,2788
142,2017-06-26,2792
143,2017-06-27,2796
144,2017-06-28,2793
145,2017-06-29,2800
146,2017-06-30,2802
147,2017-07-01,2770
148,2017-07-02,2781
149,2017-07-03,2797
150,2017-07-04,2802
151,2017-07-05,2799
152,2017-07-06,2799
153,2017-07-07,2799
154,2017-07-08,2787
155,2017-07-09,2798
156,2017-07-10,2795
157,2017-07-11,2783
158,2017-07-12,2788
159,2017-07-13,2792
160,2017-07-14,2800
161,2017-07-15,2789
162,2017-07-16,2793
163,2017-07-17,2794
164,2017-07-18,2796
165,2017-07-19,2793
166,2017-07-20,2794
167,2017-07-21,2791
168,2017-07-22,2760
169,2017-07-23,2778
170,2017-07-24,2777
171,2017-07-25,2785
172,2017-07-26,2793
173,2017-07-27,2795
174,2017-07-28,2798
175,2017-07-29,2749
176,2017-07-30,2766
177,2017-07-31,2781
178,2017-08-01,2791
179,2017-08-02,2793
180,2017-08-03,2790
181,2017-08-04,2800
182,2017-08-05,2763
183,2017-08-06,2772
184,2017-08-07,2778
185,2017-08-08,2791
186,2017-08-09,2797
187,2017-08-10,2793
188,2017-08-11,2803
189,2017-08-12,2766
190,2017-08-13,2774
191,2017-08-14,2783
192,2017-08-15,2795
193,2017-08-16,2794
194,2017-08-17,2801
195,2017-08-18,2804
196,2017-08-19,2775
197,2017-08-20,2774
198,2017-08-21,2785
199,2017-08-22,2800
200,2017-08-23,2801
201,2017-08-24,2800
202,2017-08-25,2801
203,2017-08-26,2764
204,2017-08-27,2771
205,2017-08-28,2785
206,2017-08-29,2793
207,2017-08-30,2786
208,2017-08-31,2793
209,2017-09-01,2799
210,2017-09-02,2769
211,2017-09-03,2786
212,2017-09-04,2772
213,2017-09-05,2778
214,2017-09-06,2794
215,2017-09-07,2782
216,2017-09-08,2785
217,2017-09-09,2753
218,2017-09-10,2760
219,2017-09-11,2754
220,2017-09-12,2777
221,2017-09-13,2781
222,2017-09-14,2778
223,2017-09-15,2786
224,2017-09-16,2771
225,2017-09-17,2784
226,2017-09-18,2768
227,2017-09-19,2776
228,2017-09-20,2773
229,2017-09-21,2795
230,2017-09-22,2794
231,2017-09-23,2776
232,2017-09-24,2765
233,2017-09-25,2767
234,2017-09-26,2778
235,2017-09-27,2775
236,2017-09-28,2777
237,2017-09-29,2788
238,2017-09-30,2789
239,2017-10-01,2792
240,2017-10-02,2772
241,2017-10-03,2781
242,2017-10-04,2779
243,2017-10-05,2783
244,2017-10-06,2785
245,2017-10-07,2766
246,2017-10-08,2766
247,2017-10-09,2785
248,2017-10-10,2779
249,2017-10-11,2782
250,2017-10-12,2778
251,2017-10-13,2786
252,2017-10-14,2766
253,2017-10-15,2781
254,2017-10-16,2759
255,2017-10-17,2763
256,2017-10-18,2769
257,2017-10-19,2776
258,2017-10-20,2783
