,Date,Times Sq Count,Grand Central Count,Herald Sq Count,Wall St Count,Flushing Av Count,Alabama Av Count,Forest Av Count
0,2020-02-01,24,24,18,12,12,6,6
1,2020-02-02,24,24,18,12,12,6,6
2,2020-02-03,22,24,17,12,12,6,5
3,2020-02-04,22,24,17,12,12,6,5
4,2020-02-05,22,24,17,12,12,6,5
5,2020-02-06,23,24,17,12,12,6,5
6,2020-02-07,22,24,18,12,12,6,5
7,2020-02-08,24,24,18,12,12,6,6
8,2020-02-09,24,24,18,12,12,6,6
9,2020-02-10,22,23,17,12,12,6,5
10,2020-02-11,22,24,17,12,12,6,5
11,2020-02-12,22,24,18,12,12,6,5
12,2020-02-13,22,24,17,12,12,6,5
13,2020-02-14,23,24,17,12,12,6,5
14,2020-02-15,24,24,18,12,12,6,6
15,2020-02-16,24,24,18,12,12,6,6
16,2020-02-17,23,24,18,12,12,6,6
17,2020-02-18,22,24,17,12,12,6,5
18,2020-02-19,22,24,17,12,12,6,5
19,2020-02-20,22,24,17,12,12,6,5
20,2020-02-21,22,24,17,12,12,6,5
21,2020-02-22,24,24,18,12,12,6,6
22,2020-02-23,24,24,18,12,12,6,6
23,2020-02-24,22,24,17,12,12,6,5
24,2020-02-25,22,24,17,12,12,6,5
25,2020-02-26,23,24,17,12,12,6,5
26,2020-02-27,22,24,17,12,12,6,5
27,2020-02-28,23,24,17,12,12,6,5
28,2020-02-29,24,24,18,12,12,6,6
29,2020-03-01,24,24,18,12,12,6,6
30,2020-03-02,23,24,17,12,12,6,5
31,2020-03-03,22,24,17,12,12,6,5
32,2020-03-04,23,24,17,12,12,6,5
33,2020-03-05,23,24,17,12,12,6,5
34,2020-03-06,23,24,17,12,12,6,5
35,2020-03-07,24,24,18,12,12,6,6
36,2020-03-08,24,24,18,12,12,6,6
37,2020-03-09,24,24,18,12,12,6,5
38,2020-03-10,24,24,18,12,12,6,6
39,2020-03-11,24,24,18,12,12,6,5
40,2020-03-12,24,24,18,12,12,6,6
41,2020-03-13,24,24,18,12,12,6,6
42,2020-03-14,24,24,18,12,12,6,6
43,2020-03-15,24,24,18,12,12,6,6
44,2020-03-16,24,24,18,12,12,6,6
45,2020-03-17,24,24,18,12,12,6,6
46,2020-03-18,24,23,18,12,12,6,6
47,2020-03-19,24,24,18,12,12,6,6
48,2020-03-20,24,24,18,12,12,6,6
49,2020-03-21,24,24,18,12,12,6,6
50,2020-03-22,24,24,18,12,12,6,6
